x_positions,y_positions
575,90
89,90
130,106
114,90
135,106
145,106
137,90
115,106
134,106
130,90
139,106
72,106
135,90
138,90
150,106
170,106
117,90
153,90
95,106
123,90
139,106
169,90
153,106
156,90
148,90
149,106
139,106
141,90
140,90
216,106
127,90
160,106
165,90
161,106
124,106
93,90
136,90
155,106
111,106
69,90
172,90
139,106
170,106
172,90
162,106
134,106
151,90
119,90
135,106
135,90
132,106
153,90
161,90
159,106
111,106
141,90
184,106
124,106
99,90
143,90
141,106
207,106
157,106
127,106
105,90
123,106
179,106
205,90
162,90
217,106
177,90
174,90
220,106
197,106
173,90
153,90
211,106
213,90
159,90
158,106
197,106
156,90
167,106
141,106
194,106
185,106
280,106
111,106
209,106
152,90
126,90
252,102
186,81
102,90
134,106
169,106
199,90
153,90
164,81
190,106
115,106
203,90
198,90
162,52
144,90
251,90
187,102
165,106
172,90
150,90
163,106
152,106
135,90
184,106
106,90
69,101
69,101
69,101
203,106
170,106
172,90
150,90
152,106
139,106
179,90
191,90
151,106
153,90
141,106
193,106
149,90
149,106
146,106
169,90
158,106
330,106
69,106
69,111
69,111
186,106
139,106
139,90
142,106
139,90
116,106
152,106
166,90
119,90
120,106
164,90
141,106
118,90
153,90
173,106
117,106
127,90
144,90
148,106
133,90
174,90
163,106
132,90
171,106
166,106
131,90
268,90
73,90
73,90
73,90
73,90
137,106
125,106
167,90
95,90
130,106
107,106
84,90
109,106
149,90
154,90
130,106
146,106
164,90
162,90
173,106
142,106
121,90
172,90
206,106
162,106
184,90
155,90
157,106
177,106
147,90
132,106
144,106
180,90
131,106
130,106
390,90
138,90
153,90
155,106
203,106
174,90
160,90
140,106
137,106
184,90
142,90
195,102
198,90
220,90
129,106
164,90
186,106
168,90
162,106
90,90
139,106
193,106
107,90
170,106
152,106
207,77
197,106
142,106
112,90
130,90
192,90
199,106
175,102
183,106
197,90
182,90
203,106
127,106
182,90
208,106
206,90
191,77
169,106
177,77
168,106
205,106
206,90
228,102
225,106
177,106
162,77
239,106
264,81
216,77
226,90
190,106
207,90
202,90
196,77
430,106
69,106
69,111
563,90
155,90
161,90
182,106
137,90
143,106
140,106
203,90
149,90
170,106
135,106
205,90
212,47
162,106
129,106
162,90
154,90
160,106
162,90
162,106
155,90
151,106
165,106
167,90
149,90
114,106
166,90
132,106
191,90
170,90
162,106
292,106
69,106
69,106
69,106
69,106
171,90
172,106
157,90
173,106
168,90
191,90
187,106
146,106
177,90
164,90
170,106
176,106
133,90
141,90
160,106
135,106
178,90
173,90
166,106
137,90
163,90
143,106
173,90
132,106
141,90
165,90
170,106
151,90
154,90
158,106
104,90
131,106
152,106
168,90
437,90
132,90
98,106
166,90
160,90
188,106
133,90
101,90
191,106
141,106
167,90
175,106
109,90
162,90
167,81
225,81
212,47
